,Close,dates
2,13.805435999999998,2002-12-02
3,12.918455,2002-12-03
4,12.238913,2002-12-04
5,12.124463,2002-12-05
6,12.010015,2002-12-06
7,11.731045,2002-12-09
8,12.274678,2002-12-10
9,12.389128,2002-12-11
10,12.288984,2002-12-12
11,12.303289999999999,2002-12-13
12,12.60372,2002-12-16
13,12.446352000000001,2002-12-17
14,12.052933,2002-12-18
15,11.988555,2002-12-19
16,12.875537,2002-12-20
17,13.261803,2002-12-23
18,13.040057000000001,2002-12-24
19,13.090129,2002-12-26
20,13.018597999999999,2002-12-27
21,12.882689,2002-12-30
22,12.846924000000001,2002-12-31
23,13.690988,2003-01-02
24,13.626610000000001,2003-01-03
25,14.277539,2003-01-06
26,14.148784,2003-01-07
27,13.462089,2003-01-08
28,13.998569,2003-01-09
29,14.234620999999999,2003-01-10
30,14.034335,2003-01-13
31,14.241774,2003-01-14
32,13.505007,2003-01-15
33,13.361946,2003-01-16
34,12.911302000000001,2003-01-17
35,12.653791,2003-01-21
36,12.460658,2003-01-22
37,12.424892,2003-01-23
38,11.945637,2003-01-24
39,11.609442,2003-01-27
40,12.017167,2003-01-28
41,12.188841,2003-01-29
42,11.545064,2003-01-30
43,11.788269,2003-01-31
44,11.795422,2003-02-03
45,11.659513,2003-02-04
46,11.67382,2003-02-05
47,8.76967,2003-02-06
48,8.190271000000001,2003-02-07
49,8.390558,2003-02-10
50,8.619456,2003-02-11
51,8.891273,2003-02-12
52,8.90558,2003-02-13
53,8.934192,2003-02-14
54,9.084406,2003-02-18
55,8.962804,2003-02-19
56,9.012876,2003-02-20
57,9.620887,2003-02-21
58,9.291845,2003-02-24
59,9.427754,2003-02-25
60,9.155937,2003-02-26
61,9.370529,2003-02-27
62,9.442060000000001,2003-02-28
63,9.313305,2003-03-03
64,9.191703,2003-03-04
65,9.320457000000001,2003-03-05
66,9.341917,2003-03-06
67,9.577969,2003-03-07
68,9.248927,2003-03-10
69,8.984263,2003-03-11
70,8.876967,2003-03-12
71,9.320457000000001,2003-03-13
72,9.577969,2003-03-14
73,10.057224,2003-03-17
74,10.586553,2003-03-18
75,10.486409,2003-03-19
76,10.608011,2003-03-20
77,10.586553,2003-03-21
78,10.200286,2003-03-24
79,10.157368,2003-03-25
80,10.042917999999998,2003-03-26
81,10.11445,2003-03-27
82,9.957082000000002,2003-03-28
83,9.406295,2003-03-31
84,9.656652000000001,2003-04-01
85,10.271817,2003-04-02
86,10.300429,2003-04-03
87,10.271817,2003-04-04
88,10.214592,2003-04-07
89,10.243203999999999,2003-04-08
90,9.821173,2003-04-09
91,10.071530000000001,2003-04-10
92,10.007154,2003-04-11
93,10.085837,2003-04-14
94,10.143061999999999,2003-04-15
95,10.443491,2003-04-16
96,10.686695,2003-04-17
97,10.9299,2003-04-21
98,11.101574000000001,2003-04-22
99,11.609442,2003-04-23
100,11.373389999999999,2003-04-24
101,11.173103999999999,2003-04-25
102,11.452074,2003-04-28
103,11.523605,2003-04-29
104,11.459228,2003-04-30
105,11.58083,2003-05-01
106,11.623747999999999,2003-05-02
107,11.444921,2003-05-05
108,11.494993,2003-05-06
109,11.437768,2003-05-07
110,11.459228,2003-05-08
111,11.680973,2003-05-09
112,11.659513,2003-05-12
113,11.616595,2003-05-13
114,11.652361,2003-05-14
115,11.952789,2003-05-15
116,11.809728999999999,2003-05-16
117,11.09442,2003-05-19
118,11.473533999999999,2003-05-20
119,11.337626,2003-05-21
120,11.559371,2003-05-22
121,11.630901,2003-05-23
122,12.267525,2003-05-27
123,12.625179,2003-05-28
124,12.618025999999999,2003-05-29
125,12.968527,2003-05-30
126,13.397711,2003-06-02
127,13.626610000000001,2003-06-03
128,14.241774,2003-06-04
129,14.055794,2003-06-05
130,13.81259,2003-06-06
131,13.440629000000001,2003-06-09
132,13.447783,2003-06-10
133,13.51216,2003-06-11
134,13.476395000000002,2003-06-12
135,13.53362,2003-06-13
136,13.762518,2003-06-16
137,13.762518,2003-06-17
138,13.991416000000001,2003-06-18
139,13.776824,2003-06-19
140,13.633761999999999,2003-06-20
141,13.51216,2003-06-23
142,13.412017,2003-06-24
143,13.53362,2003-06-25
144,13.841202,2003-06-26
145,13.984263,2003-06-27
146,13.984263,2003-06-30
147,14.241774,2003-07-01
148,14.520744,2003-07-02
149,14.298998999999998,2003-07-03
150,15.228898000000001,2003-07-07
